Date,F&G Index,Zone,Index Strength,USD %Δ,M2 %Δ,10Y %Δ,BTC Weight,VOO Weight,BIL Weight,Sharpe Ratio (60d)
2025-11-06,24,Extreme Fear,0.75,0.34,0.47,0.49,0.75,0.25,0.0,-0.84
2025-11-10,29,Extreme Fear,0.75,-0.27,0.47,-0.48,0.75,0.25,0.0,-0.24
2025-11-17,17,Extreme Fear,0.75,-0.35,0.47,-0.48,0.75,0.25,0.0,-0.88
2025-11-24,12,Extreme Fear,0.5,0.59,0.47,-0.73,0.5,0.5,0.0,-1.67
2025-12-01,20,Extreme Fear,0.75,-0.68,0.39,-0.99,0.75,0.25,0.0,-1.62
2025-12-08,24,Extreme Fear,1.0,-0.42,0.39,0.49,1.0,0.0,0.0,-1.45
2025-12-15,24,Extreme Fear,0.75,-0.75,0.39,-0.72,0.75,0.25,0.0,-1.84
2025-12-22,29,Extreme Fear,0.5,0.46,0.39,-1.44,0.5,0.5,0.0,-1.49
2025-12-29,30,Extreme Fear,0.75,-0.27,0.11,0.0,0.75,0.25,0.0,-2.29
2026-01-19,45,Fear,0.5,0.54,0.11,-0.48,0.38,0.62,0.0,-0.49
2026-01-26,29,Extreme Fear,1.0,-1.8,0.11,0.47,1.0,0.0,0.0,-1.53
2026-02-02,15,Extreme Fear,1.0,-0.05,0.4,0.47,1.0,0.0,0.0,-1.89
2026-02-09,9,Extreme Fear,0.5,0.02,0.4,-1.86,0.5,0.5,0.0,-2.23
2026-02-16,12,Extreme Fear,0.5,0.06,0.4,-3.08,0.5,0.5,0.0,-1.49
